trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-36.44491899669894,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,14.104375013374995,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-3.703374859018428,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-27.22026435229414,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,6,-17.357103040865002,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,8,-41.640802605687355,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,3.8253225848219805,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,8,10.570363663340842,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,14,8.58798415690293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,0,-160.99115061935126,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,5,-13.1240186156311,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,14,9.745947199473305,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,14,-5.777914407727123,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,-12.53850374981248,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,3,8.874386839005545,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,0,10.539072251094192,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-118.29992651054991,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,9,-74.5424699283399,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,11,-54.64893051306397,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,14,9.823887950685785,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-7.415719412041414,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,-7.364157405705207,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,0,20.68242864924966,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,16,5.376225195481393,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",30,3,-27.250409104583664,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",30,0,-4.588761409573572,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,17,0.7699348638859176,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,7,19.023994548246627,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,0,-71.94570536495365,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",35,8,-3.2472160034889344,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
